python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement1RulesLB0.001C0.5NR10000.csv UsefulFold1.csv,,,,,,,,,,
fullyCoveredInstances,321,,,,,,,,,321
partiallyCoveredInstances,2,,,,,,,,,2
nonCoveredInstances,2,,,,,,,,,2
instanceCount,325,,,,,,,,,325
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement2RulesLB0.001C0.5NR10000.csv UsefulFold2.csv,,,,,,,,,,
fullyCoveredInstances,297,,,,,,,,,618
partiallyCoveredInstances,11,,,,,,,,,13
nonCoveredInstances,4,,,,,,,,,6
instanceCount,312,,,,,,,,,637
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement3RulesLB0.001C0.5NR10000.csv UsefulFold3.csv,,,,,,,,,,
fullyCoveredInstances,317,,,,,,,,,935
partiallyCoveredInstances,2,,,,,,,,,15
nonCoveredInstances,5,,,,,,,,,11
instanceCount,324,,,,,,,,,961
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement4RulesLB0.001C0.5NR10000.csv UsefulFold4.csv,,,,,,,,,,
fullyCoveredInstances,300,,,,,,,,,1235
partiallyCoveredInstances,6,,,,,,,,,21
nonCoveredInstances,5,,,,,,,,,16
instanceCount,311,,,,,,,,,1272
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement5RulesLB0.001C0.5NR10000.csv UsefulFold5.csv,,,,,,,,,,
fullyCoveredInstances,321,,,,,,,,,1556
partiallyCoveredInstances,4,,,,,,,,,25
nonCoveredInstances,2,,,,,,,,,18
instanceCount,327,,,,,,,,,1599
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement6RulesLB0.001C0.5NR10000.csv UsefulFold6.csv,,,,,,,,,,
fullyCoveredInstances,316,,,,,,,,,1872
partiallyCoveredInstances,8,,,,,,,,,33
nonCoveredInstances,2,,,,,,,,,20
instanceCount,326,,,,,,,,,1925
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement7RulesLB0.001C0.5NR10000.csv UsefulFold7.csv,,,,,,,,,,
fullyCoveredInstances,310,,,,,,,,,2182
partiallyCoveredInstances,11,,,,,,,,,44
nonCoveredInstances,1,,,,,,,,,21
instanceCount,322,,,,,,,,,2247
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement8RulesLB0.001C0.5NR10000.csv UsefulFold8.csv,,,,,,,,,,
fullyCoveredInstances,314,,,,,,,,,2496
partiallyCoveredInstances,3,,,,,,,,,47
nonCoveredInstances,2,,,,,,,,,23
instanceCount,319,,,,,,,,,2566
python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement9RulesLB0.001C0.5NR10000.csv UsefulFold9.csv,,,,,,,,,,
fullyCoveredInstances,296,,,,,,,,,2792
partiallyCoveredInstances,5,,,,,,,,,52
nonCoveredInstances,2,,,,,,,,,25
instanceCount,303,,,,,,,,,2869
